on_street_name,danger_score
 53rd Drive,1
 54th Avenue,7
 54th Street,1
 55th Avenue,10
 55th Drive,2
 55th Road,2
 55th Street,12
 56th Avenue,14
 56th Drive,5
 56th Road,4
 56th Street,2
 57th Avenue,22
 57th Drive,5
 57th Road,4
 57th Street,5
 58th Avenue,3
 58th Lane,1
 58th Place,1
 58th Road,3
 58th Street,6
 59th Avenue,9
 59th Place,1
 59th Road,1
 59th Street,4
 5th Avenue,3
 60th Avenue,4
 60th Drive,5
 60th Lane,6
 60th Place,1
 60th Road,4
 60th Street,9
 61st Avenue,5
 61st Road,1
 61st Street,13
 62nd Avenue,3
 62nd Drive,2
 62nd Road,1
 62nd Street,4
 63rd Road,1
 63rd Street,4
 64th Avenue,10
 64th Place,3
 64th Road,1
 64th Street,10
 65th Avenue,5
 65th Place,5
 65th Street,2
 66th Avenue,1
 66th Street,5
 67th Avenue,6
 67th Drive,5
 67th Place,2
 67th Street,3
 68th Avenue,11
 68th Drive,1
 68th Place,4
 68th Road,6
 68th Street,7
 69th Avenue,11
 69th Drive,2
 69th Lane,5
 69th Place,6
 69th Road,7
 69th Street,29
 70th Avenue,3
 70th Road,1
 70th Street,13
 71st Avenue,14
 71st Place,1
 71st Road,1
 71st Street,15
 72nd Avenue,6
 72nd Place,5
 72nd Street,5
 73rd Avenue,10
 73rd Place,6
 73rd Street,25
 74th Avenue,3
 74th Street,11
 75th Avenue,11
 75th Place,1
 75th Road,1
 75th Street,12
 76th Avenue,14
 76th Drive,1
 76th Road,2
 76th Street,18
 77th Avenue,5
 77th Crescent,1
 77th Road,4
 77th Street,27
 78th Avenue,5
 78th Road,3
 78th Street,16
 79th Avenue,10
 79th Place,3
 79th Street,24
 80th Avenue,2
 80th Road,2
 80th Street,35
 81st Avenue,3
 81st Street,11
 82nd Avenue,6
 82nd Place,1
 82nd Street,36
 83rd Avenue,1
 83rd Place,1
 83rd Street,16
 84th Avenue,6
 84th Drive,10
 84th Road,3
 84th Street,23
 85th Avenue,7
 85th Drive,7
 85th Road,2
 85th Street,20
 86th Avenue,9
 86th Road,1
 86th Street,9
 87th Avenue,12
 87th Road,8
 87th Street,11
 88th Avenue,9
 88th Road,4
 88th Street,31
 89th Avenue,29
 89th Road,1
 89th Street,10
 8th Street,1
 90th Avenue,15
 90th Street,11
 91st Avenue,10
 91st Place,1
 91st Street,11
 92nd Street,18
 93rd Avenue,10
 93rd Street,13
 94th Avenue,12
 94th Drive,1
 94th Street,29
 95th Avenue,12
 95th Street,8
 96th Avenue,1
 96th Street,18
 97th Avenue,9
 97th Place,8
 97th Street,28
 98th Place,1
 98th Street,30
 99th Avenue,8
 99th Street,27
 9th Street,3
 Abingdon Road,2
 Admiral Avenue,1
 Aguilar Avenue,2
 Albert Road,2
 Albion Avenue,4
 Alderton Street,3
 Allendale Street,1
 Almeda Avenue,5
 Alstyne Avenue,5
 Andrews Avenue,1
 Arcade Avenue,1
 Archer Avenue,3
 Arlington Terrace,3
 Astoria Boulevard,68
 Astoria Park South,2
 Atlantic Avenue,37
 Austin Street,12
 Avery Avenue,10
 Avon Street,3
 Babylon Avenue,1
 Baisley Boulevard,18
 Barclay Avenue,2
 Baxter Avenue,2
 Bayport Place,1
 Bayside Avenue,3
 Beach 12th Street,1
 Beach 20th Street,2
 Beach 22nd Street,1
 Beach Channel Drive,88
 Beaver Road,2
 Bedell Street,3
 Beech Avenue,2
 Belknap Street,1
 Bell Boulevard,14
 Bellaire Place,1
 Benham Street,1
 Beverly Road,2
 Bleecker Street,2
 Booth Memorial Avenue,1
 Booth Street,1
 Borden Avenue,4
 Borkel Place,1
 Bowne Street,1
 Braddock Avenue,7
 Brewer Boulevard,50
 Brinkerhoff Avenue,2
 Brisbin Street,2
 Britton Avenue,3
 Broadway,66
 Brookhaven Avenue,8
 Brooklyn Queens Expressway,7
 Brookville Boulevard,19
 Brown Place,2
 Browvale Lane,1
 Buell Street,1
 Burden Crescent,1
 Burling Street,1
 Calamus Avenue,1
 Calloway Street,3
 Caney Road,3
 Carpenter Avenue,1
 Case Street,3
 Catalpa Avenue,4
 Central Avenue,5
 Centreville Avenue,4
 Chapin Parkway,3
 Chelsea Street,1
 Chevy Chase Street,1
 Christie Avenue,1
 Claude Avenue,4
 Clearview Expressway,3
 Clinton Avenue,1
 Clintonville Street,2
 Clover Place,1
 Cohancy Street,3
 Colden Street,1
 Coldspring Road,1
 College Point Boulevard,28
 Collier Avenue,1
 Commonwealth Boulevard,3
 Coombs Street,1
 Cooper Avenue,27
 Cornaga Avenue,2
 Cornish Avenue,1
 Corona Avenue,42
 Country Point Circle,3
 Crescent Street,18
 Cresskill Place,1
 Crocheron Avenue,3
 Cross Bay Boulevard,43
 Cross Island Parkway,10
 Croydon Road,1
 Curtis Street,1
 Cypress Avenue,13
 Cypress Hills Street,4
 Dalny Road,1
 Decatur Street,5
 Deerfield Road,1
 Delevan Street,1
 Delong Street,3
 Denman Street,1
 Depot Road,3
 Dieterle Crescent,1
 Dillon Street,1
 Ditmars Boulevard,56
 Dix Avenue,1
 Doran Avenue,1
 Dormans Road,1
 Douglaston Parkway,1
 Downing Street,1
 Dry Harbor Road,5
 Dunkirk Street,1
 Dunton Avenue,1
 Dutch Kills Street,1
 East Williston Avenue,1
 Eckford Avenue,1
 Edgemere Avenue,2
 Eggert Place,1
 Elbertson Street,4
 Eliot Avenue,14
 Elm Avenue,1
 Elmhurst Avenue,11
 Everdell Avenue,1
